exchange(交易所),code(代码),name(ETF简称),index_name(跟踪指数),fund_manager(基金管理人),listed_trading_days(上市交易天数_近300日封顶),suspend_days_60d(近60交易日停牌天数),adv_amount_60d(近60交易日日均成交额_元),avg_abs_premium_discount_60d(近60交易日平均绝对折溢价),pct_days_premium_discount_gt_1pct_60d(近60交易日折溢价超1%占比)
sz,159906,深成长ETF大成,399326 成长40,大成基金管理有限公司,300,0,11188203.28,0.001575,0.000000
sz,159907,国证2000ETF广发,399303 国证2000,广发基金管理有限公司,300,0,11098062.95,0.002490,0.033333
sz,159908,创业板ETF博时,399006 创业板指,博时基金管理有限公司,300,0,43450360.52,0.000809,0.000000
sz,159909,TMT50ETF招商,399610 TMT50,招商基金管理有限公司,300,0,5822930.99,0.001833,0.016667
sz,159910,基本面120ETF嘉实,399702 深证F120,嘉实基金管理有限公司,300,0,3746725.86,0.001268,0.000000
sz,159912,深300ETF汇添富,399007 深证300,汇添富基金管理股份有限公司,300,0,1918332.90,0.001668,0.000000
sz,159913,深价值ETF交银,399348 深证价值,交银施罗德基金管理有限公司,300,0,1098961.96,0.005736,0.050000
sz,159915,创业板ETF易方达,399006 创业板指,易方达基金管理有限公司,300,0,4586061085.87,0.000843,0.000000
sz,159916,基本面ETF建信,399701 深证F60,建信基金管理有限责任公司,300,0,7600159.35,0.004445,0.116667
sz,159918,中创400ETF嘉实,399624 中创400,嘉实基金管理有限公司,300,0,941538.83,0.001525,0.000000
sz,159919,沪深300ETF嘉实,399300 沪深300,嘉实基金管理有限公司,300,0,1364371420.27,0.000831,0.000000
sz,159920,恒生ETF华夏,HSI,华夏基金管理有限公司,300,0,436602206.40,0.006384,0.083333
sz,159922,中证500ETF嘉实,399905 中证 500,嘉实基金管理有限公司,300,0,818403886.93,0.000822,0.000000
sz,159923,中证A100ETF大成,399903 中证100,大成基金管理有限公司,300,0,927379.11,0.001235,0.000000
sz,159925,沪深300ETF南方,399300 沪深300,南方基金管理股份有限公司,300,0,86543582.57,0.000802,0.000000
sz,159928,消费ETF汇添富,000932,汇添富基金管理股份有限公司,300,0,389624922.67,0.000832,0.000000
sz,159929,医药ETF汇添富,000933,汇添富基金管理股份有限公司,300,0,73068750.47,0.000701,0.000000
sz,159930,能源ETF汇添富,000928,汇添富基金管理股份有限公司,300,0,179388555.20,na,na
sz,159931,金融地产ETF汇添富,000934,汇添富基金管理股份有限公司,300,0,1119612.48,0.001733,0.000000
sz,159933,金融地产ETF国投瑞银,000914,国投瑞银基金管理有限公司,300,0,213194.64,0.001589,0.000000
sz,159934,黄金ETF易方达,AU9999,易方达基金管理有限公司,300,0,1539277486.40,na,na
sz,159935,中证500ETF景顺,000905,景顺长城基金管理有限公司,300,0,2767598.97,0.001522,0.000000
sz,159936,可选消费ETF广发,000989,广发基金管理有限公司,300,0,2477001.72,0.001127,0.000000
sz,159937,黄金ETF博时,AU9999,博时基金管理有限公司,300,0,1279899289.60,0.001891,0.016667
sz,159938,医药ETF广发,000991,广发基金管理有限公司,300,0,49265703.62,0.001005,0.000000
sz,159939,信息技术ETF广发,000993,广发基金管理有限公司,300,0,36868823.71,0.001092,0.000000
sz,159940,金融地产ETF广发,000992,广发基金管理有限公司,300,0,3912196.34,na,na
sz,159941,纳指ETF广发,NDX,广发基金管理有限公司,300,0,1171065632.53,0.034417,0.916667
sz,159943,深证成指ETF大成,399001 深证成指,大成基金管理有限公司,300,0,19323968.64,0.001647,0.016667
sz,159944,材料ETF广发,000987,广发基金管理有限公司,300,0,15828427.42,0.001158,0.000000
sz,159945,能源ETF广发,000986,广发基金管理有限公司,300,0,22162354.82,0.001873,0.033333
sz,159948,创业板ETF南方,399006 创业板指,南方基金管理股份有限公司,300,0,76947594.27,0.000762,0.000000
sz,159949,创业板50ETF华安,399673 创业板50,华安基金管理有限公司,300,0,1694824386.13,0.000788,0.000000
sz,159952,创业板ETF广发,399006 创业板指,广发基金管理有限公司,300,0,449012786.13,0.000683,0.000000
sz,159954,恒生中国企业ETF南方,HSCEI,南方基金管理股份有限公司,300,0,4132807.30,0.005791,0.100000
sz,159956,创业板ETF建信,399006 创业板指,建信基金管理有限责任公司,300,0,5678699.68,0.001169,0.000000
sz,159957,创业板ETF华夏,399006 创业板指,华夏基金管理有限公司,300,0,159870756.67,0.001208,0.016667
sz,159958,创业板ETF工银,399006 创业板指,工银瑞信基金管理有限公司,300,0,11246982.45,0.001278,0.000000
sz,159959,央企ETF银华,000860,银华基金管理股份有限公司,300,0,2485349.33,0.001372,0.000000
sz,159960,恒生中国企业ETF平安,HSCEI,平安基金管理有限公司,300,0,9504977.73,0.004973,0.050000
sz,159961,深100ETF方正富邦,399330 深证100,方正富邦基金管理有限公司,300,0,3635235.59,0.001472,0.000000
sz,159964,创业板ETF平安,399006 创业板指,平安基金管理有限公司,300,0,3439781.61,0.001042,0.000000
sz,159965,央视50ETF国联,399550 央视50,国联基金管理有限公司,300,0,387324.84,0.001493,0.016667
sz,159966,创业板价值ETF华夏,399295 创价值,华夏基金管理有限公司,300,0,7858707.01,0.001198,0.000000
sz,159967,创业板成长ETF华夏,399296 创成长,华夏基金管理有限公司,300,0,575413767.47,0.001372,0.000000
sz,159968,中证500ETF博时,399905 中证 500,博时基金管理有限公司,300,0,14433060.31,na,na
sz,159970,深100ETF工银,399330 深证100,工银瑞信基金管理有限公司,300,0,1253747.79,0.001879,0.000000
sz,159971,创业板ETF富国,399006 创业板指,富国基金管理有限公司,300,0,62081038.90,0.001441,0.000000
sz,159972,5年地方债ETF鹏华,930865,鹏华基金管理有限公司,300,0,1640426667.33,0.000846,0.000000
sz,159973,民企ETF弘毅远方,399362 民企100,弘毅远方基金管理有限公司,300,0,653540.85,0.001962,0.000000
sz,159974,央企创新ETF富国,000861,富国基金管理有限公司,300,0,1633502.50,0.001046,0.000000
sz,159975,深100ETF招商,399330 深证100,招商基金管理有限公司,300,0,4499525.85,0.001429,0.000000
sz,159976,湾创ETF工银,980001 湾创100,工银瑞信基金管理有限公司,300,0,1771883.32,0.003454,0.000000
sz,159977,创业板ETF天弘,399006 创业板指,天弘基金管理有限公司,300,0,183449288.53,0.001043,0.000000
sz,159980,有色ETF大成,IMCI,大成基金管理有限公司,300,0,595029495.73,0.004552,0.083333
